,TELEVISION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
51,263.0,Star Gold 2,0,3371269,0
0,265.0,Star India Pvt. Ltd.-Ind-NZ ODI Series 2019,0,2886469,0
1,266.0,Star India Pvt. Ltd.-Ind-NZ T20 Series 2019,0,1881298,0
2,267.0,Star India Pvt. Ltd.-Ind-WI T20 Series 2018,0,2974166,0
3,268.0,Star India Pvt. Ltd.-WI-Ind Sries 2018,0,5132150,0
4,269.0,STAR JALSHA,6872546,7812465,1071409
5,270.0,STAR PLUS,50714487,55116635,44946145
6,271.0,Star Pravah,80542,751726,0
7,272.0,Star Utsav,868758,0,0
8,273.0,STAR VIJAY,1284073,11366044,0
9,274.0,STUDION,86234,0,0
10,275.0,SUDARSHAN NEWS,11676417,7706897,805647
11,276.0,SUN MUSIC,113938,901642,0
12,277.0,Sun News,10411889,14418313,1468020
13,278.0,SUN TV,37145079,43855937,10318130
14,279.0,Surya Movies,0,637032,0
15,280.0,Surya Samachar,0,260820,902941
16,281.0,SURYA TV,2295133,7284980,0
17,282.0,Suvarna,68251,5434777,0
18,283.0,SUVARNA NEWS,20833599,18519304,2436518
19,284.0,T NEWS,17075202,16950619,2770033
20,285.0,TAAZA TV,0,0,229647
21,286.0,Tarang,14633384,18578344,4737440
22,287.0,Tarang Music,307296,1347733,0
23,288.0,Tehzeeb,0,0,210743
24,289.0,Tez,0,1494980,0
25,290.0,TIMES NOW,505452,989633,0
26,291.0,TOLLYWOOD,42268,0,0
27,292.0,Total Haryana,0,407780,0
28,293.0,TOTAL TV,13512829,13587394,2372489
29,294.0,TV 100,0,0,304815
30,295.0,TV 5 TELUGU NEWS,11027780,21212263,2431731
31,296.0,TV 9 (Gujarati),8974009,16890264,3749062
32,297.0,TV 9 (Karnataka),12959056,25814048,3307211
33,298.0,TV 9 - Telugu,15525515,34948949,3304839
34,299.0,TV 9 Mumbai,12276675,20140002,5026407
35,300.0,TV5 Kannada,0,0,226985
36,301.0,UDAYA COMEDY,0,447961,0
37,302.0,Udaya Movies,777495,1881807,0
38,303.0,UDAYA MUSIC,988113,1387819,0
39,304.0,UDAYA NEWS,1897177,4657226,0
40,305.0,UDAYA TV,13301752,16559735,2299485
41,306.0,UTV Action,0,3817256,0
42,307.0,UTV MOVIES,2100458,529920,0
43,308.0,V6 NEWS CHANNEL,3074444,14609418,544930
44,309.0,Vanita TV,14125,125615,0
45,310.0,Vendhar TV,149564,916069,0
46,311.0,VH1,33721,454319,359756
47,312.0,Vissa Television,12999,121567,0
48,313.0,VTV,5835089,9655424,174041
49,314.0,WE,0,1042132,0
50,315.0,WIN TV,0,797345,0
51,316.0,WION (v),0,0,505363
