SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,2017-2018,2018-2019,2019-2020
1984.0,BALAGHAT EXPRESS,HINDI,DAILY(M),BALAGHAT,"88,005","124,874","19,235"
1985.0,DIVYA EXPRESS,HINDI,DAILY(M),BALAGHAT,0,"56,690","4,541"
1986.0,JABALPUR EXPRESS,HINDI,DAILY(M),BALAGHAT,"2,514,546","1,583,890","491,433"
1987.0,AKBAR TIMES,HINDI,WEEKLY,BETUL,0,"7,786","4,865"
1988.0,RASHTRIYA JANADESH,HINDI,DAILY(M),BETUL,"23,906","33,242","10,089"
1989.0,TAPTI SAMNAVYA,HINDI,DAILY(M),BETUL,"12,584","22,701","6,143"
1990.0,AJAY BHARAT,HINDI,DAILY(M),BHIND,"419,741","505,345","195,957"
1991.0,CHAMBAL KI PRAGATI,HINDI,DAILY(M),BHIND,"48,521","20,182","4,541"
1992.0,SATTA SUDHAR,HINDI,DAILY(M),BHIND,"201,018","355,721","14,397"
1993.0,UDGAR,HINDI,DAILY(M),BHIND,"146,277","20,783","6,143"
1994.0,AAPKA NASEEB,HINDI,DAILY(M),BHOPAL,"21,418","53,399","9,413"
1995.0,ABHIVYAKTI EXPRESS,HINDI,DAILY(M),BHOPAL,0,0,"17,390"
1996.0,AFKAR,HINDI,DAILY(M),BHOPAL,"21,161","30,716","6,143"
1997.0,AGNIBAN,HINDI,DAILY(E),BHOPAL,"565,416","735,462","129,706"
1998.0,AGNIPATH,HINDI,DAILY(M),BHOPAL,"147,577","362,034","6,143"
1999.0,AJAYBHARAT,HINDI,DAILY(M),BHOPAL,"98,437","119,095","18,069"
2000.0,AKBAR TIMES,HINDI,WEEKLY,BHOPAL,0,"10,348","6,467"
2001.0,AKHAND SINDHU SANSAR,SINDHI,MONTHLY,BHOPAL,0,"9,963",0
2002.0,AKHBAR E MASHRIQ,URDU,DAILY(M),BHOPAL,"357,426","295,158","18,670"
2003.0,AKSH,HINDI,FORTNIGHTLY,BHOPAL,"9,905","14,966",0
2004.0,AKSHAR VISHV,HINDI,DAILY(M),BHOPAL,"17,455","28,870","18,069"
2005.0,ALANKAR,HINDI,DAILY(M),BHOPAL,"5,593","15,360","4,541"
2006.0,AMAR PRAVAKTA,HINDI,DAILY(M),BHOPAL,0,0,"6,143"
2007.0,AMRIT DARSHAN,HINDI,DAILY(E),BHOPAL,"19,815","52,690","21,816"
2008.0,ASHA PRAKASH,HINDI,WEEKLY,BHOPAL,0,"7,786",0
2009.0,ASMANJUS RATH,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,0,"13,728","6,143"
2010.0,BALWAS TIMES,HINDI,DAILY(M),BHOPAL,0,"224,616","9,413"
2011.0,BHARAT KI TAKAT,HINDI,MONTHLY,BHOPAL,0,"6,755",0
2012.0,BHARAT MAT,HINDI,DAILY(E),BHOPAL,"92,175","47,273","9,413"
2013.0,BHARTIYA JAN VICHAR,HINDI,DAILY(M),BHOPAL,"328,767","58,051","7,796"
2014.0,BHARTIYA MANAVTA,HINDI,DAILY(M),BHOPAL,"85,275",0,0
2015.0,BHEL POWER,HINDI,MONTHLY,BHOPAL,0,"5,211","6,514"
2016.0,BHOO MANDAL GAATHA,HINDI,DAILY(M),BHOPAL,0,"26,376","7,796"
2017.0,BHOPAL CAVACH,HINDI,WEEKLY,BHOPAL,0,"6,496","6,467"
2018.0,BHOPAL HALCHAL,HINDI,DAILY(M),BHOPAL,"49,363","52,092","7,796"
2019.0,BHOPAL TODAY,HINDI,DAILY(M),BHOPAL,"9,933","33,873","6,143"
2020.0,BICHHUDOTCOM,HINDI,FORTNIGHTLY,BHOPAL,0,"18,694","7,330"
2021.0,BUSINESS STANDARD,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,"774,203","279,867","60,999"
2022.0,CANON TIMES,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,0,"15,360","6,143"
2023.0,CANON TIMES,HINDI,WEEKLY,BHOPAL,0,"10,348","6,467"
2024.0,CENTRAL CHRONICLE,ENGLISH,DAILY(M),BHOPAL,0,"49,188","332,371"
2025.0,CHALATI ANKHE,HINDI,DAILY(E),BHOPAL,0,"4,912","6,143"
2026.0,CHHAPA ABHIYAAN,HINDI,WEEKLY,BHOPAL,0,0,"6,467"
2027.0,CHRISTIAN ASSEMBLY,HINDI,FORTNIGHTLY,BHOPAL,0,"4,952","6,190"
2028.0,CINE PATKATHA,HINDI,MONTHLY,BHOPAL,0,"6,864",0
2029.0,CITY TODAY,HINDI,DAILY(M),BHOPAL,"78,588","194,534","11,216"
2030.0,CRIME LOOK,HINDI,MONTHLY,BHOPAL,0,"17,144",0
2031.0,DABANG DUNIA,HINDI,DAILY(M),BHOPAL,"9,959,462","2,772,195","885,863"
2032.0,DAINIK AVANTIKA,HINDI,DAILY(M),BHOPAL,"85,157","548,113","91,555"
2033.0,DAINIK BHASKAR,HINDI,DAILY(M),BHOPAL,"31,682,442","17,367,113","9,930,199"
2034.0,DAINIK CHAMBAL SURKHEE,HINDI,DAILY(M),BHOPAL,"13,906","26,793","6,143"
2035.0,DAINIK JAGRAN,HINDI,DAILY(M),BHOPAL,"15,157,598","10,517,720","4,753,414"
2036.0,DAINIK KIRTI KRANTI,HINDI,DAILY(M),BHOPAL,"17,970","35,621","9,413"
2037.0,DAINIK SANDHYA PRAKASH,HINDI,DAILY(E),BHOPAL,"299,071","154,321",0
2038.0,DB POST,ENGLISH,DAILY(M),BHOPAL,0,"51,923",0
2039.0,DESH BANDHU,HINDI,DAILY(M),BHOPAL,"382,289","117,527","135,667"
2040.0,DOPAHAR METRO,HINDI,DAILY(E),BHOPAL,0,"112,706","28,592"
2041.0,EXPRESS NEWS,HINDI,DAILY(M),BHOPAL,"687,881","122,225","9,413"
2042.0,FAJAR,HINDI,MONTHLY,BHOPAL,0,"13,728","6,514"
2043.0,FARZ,SINDHI,DAILY(M),BHOPAL,"138,304","171,210","7,796"
2045.0,FREE PRESS,ENGLISH,DAILY(M),BHOPAL,"635,932","267,175","82,676"
2046.0,GARBHANAAL PATRIKA,HINDI,MONTHLY,BHOPAL,0,"10,422",0
2047.0,GOOD EVENING,HINDI,DAILY(E),BHOPAL,0,"71,937","4,541"
2048.0,HAMARA METRO,HINDI,DAILY(M),BHOPAL,"30,065","66,278","3,183"
2049.0,HAR PAHAR,HINDI,DAILY(M),BHOPAL,0,0,"31,438"
2050.0,HARI BHOOMI,HINDI,DAILY(M),BHOPAL,"539,408","1,463,868","721,540"
2051.0,HINDI ACTION,HINDI,DAILY(M),BHOPAL,"12,822","20,783","14,237"
2052.0,HINDUSTAN EXPRESS,HINDI,DAILY(M),BHOPAL,0,0,"56,215"
2053.0,IDEAL TIMES,HINDI,DAILY(M),BHOPAL,"22,089","20,142",0
2054.0,INDEPENDENT MAIL,HINDI,DAILY(M),BHOPAL,0,"4,541","4,541"
2055.0,INDIA CIRCULATION,HINDI,DAILY(E),BHOPAL,"7,568","20,783","6,143"
2056.0,JAN CHINGARI,HINDI,DAILY(M),BHOPAL,"22,016","30,716",0
2057.0,JAN JAN JAGRAN,HINDI,DAILY(M),BHOPAL,0,"88,103","152,803"
2058.0,JAN PATTA,HINDI,WEEKLY,BHOPAL,0,"7,786","6,467"
2059.0,JANKALYAN MAIL,HINDI,WEEKLY,BHOPAL,0,"7,786",0
2060.0,JANTA KA CHALLENGE,HINDI,MONTHLY,BHOPAL,0,"8,302","6,514"
2061.0,JUSTICE OF WORLD,HINDI,DAILY(M),BHOPAL,"11,602","31,856","9,413"
2062.0,KAUSAR,HINDI,DAILY(M),BHOPAL,"311,851",0,"6,143"
2063.0,KHABARYAAR,HINDI,WEEKLY,BHOPAL,0,"6,496","6,467"
2064.0,KHABARYAAR,ENGLISH,WEEKLY,BHOPAL,0,"6,496","6,467"
2065.0,KHABRON KI BAAT,HINDI,WEEKLY,BHOPAL,0,"7,786","4,865"
2066.0,KRANTI PRAVAKTA,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,"5,593","15,360","6,143"
2067.0,KRANTI PRAVAKTA,HINDI,WEEKLY,BHOPAL,0,"6,496",0
2068.0,KRISHAK JAGAT,HINDI,WEEKLY,BHOPAL,0,"22,163","11,543"
2069.0,KRISHAK SAMRUDDHI,HINDI,MONTHLY,BHOPAL,0,"6,864",0
2070.0,LN STAR,HINDI,WEEKLY,BHOPAL,0,"18,694","8,120"
2071.0,LOK MAYA,HINDI,DAILY(M),BHOPAL,"21,410","30,239","23,388"
2072.0,LOKANCHAL,GONDI,WEEKLY,BHOPAL,0,"6,496","8,120"
2073.0,LOKDESH,HINDI,DAILY(M),BHOPAL,0,"295,244","41,568"
2074.0,LOKOTTAR,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,"73,888","26,376","7,796"
2075.0,M.P.PANCH DRASTI,HINDI,WEEKLY,BHOPAL,0,"3,893",0
2076.0,MADHU SANDESH,HINDI,WEEKLY,BHOPAL,0,"7,786",0
2077.0,MADHYA SWADESH,HINDI,DAILY(M),BHOPAL,0,"17,390","34,591"
2078.0,MADHYAMATI,HINDI,WEEKLY,BHOPAL,0,"6,496",0
2079.0,MADHYARAJYA,HINDI,DAILY(M),BHOPAL,"96,413","26,793","53,116"
2080.0,MAHANAGAR TIMES,HINDI,DAILY(M),BHOPAL,0,0,"34,108"
2081.0,MAJBOOT RASHTRA,HINDI,MONTHLY,BHOPAL,0,0,"99,201"
2082.0,MAJOR TIMES,HINDI,DAILY(M),BHOPAL,0,"15,360","4,541"
2083.0,MARUTI EXPRESS,HINDI,DAILY(M),BHOPAL,0,"89,918","6,143"
2084.0,MISSION-100,HINDI,MONTHLY,BHOPAL,"13,593","13,728","6,514"
2085.0,NADEEM,URDU,DAILY(M),BHOPAL,"357,883","88,393","23,681"
2086.0,NAI DUNIYA,HINDI,DAILY(M),BHOPAL,"1,449,140","2,123,279","680,289"
2087.0,NAV BHARAT,HINDI,DAILY(M),BHOPAL,"2,724,171","2,865,467","722,918"
2088.0,NAV PRABHAT TIMES,HINDI,WEEKLY,BHOPAL,0,"10,348",0
2089.0,NAV PRADESH,HINDI,DAILY(M),BHOPAL,0,"136,717",0
2090.0,NAVDUNIA,HINDI,DAILY(M),BHOPAL,"2,543,828","2,217,277","565,524"
2091.0,NAYANARA,HINDI,MONTHLY,BHOPAL,0,"6,864",0
2092.0,NEWS OF HALF DAY,HINDI,DAILY(E),BHOPAL,0,"264,481","119,832"
2093.0,NIRMAN SHEELA,HINDI,FORTNIGHTLY,BHOPAL,0,"7,786",0
2094.0,NOOR E URDU,URDU,WEEKLY,BHOPAL,0,"7,786","6,467"
2095.0,PANDIT DEENDAYAL UPADHYAYMISSION TODAY,HINDI,MONTHLY,BHOPAL,0,"13,728","6,514"
2096.0,PARIWARIK DASTAK,HINDI,DAILY(M),BHOPAL,0,"21,146","17,255"
2097.0,PATRAKAR SANGH OF MADHYAPRADESH,HINDI,FORTNIGHTLY,BHOPAL,0,"6,496",0
2098.0,PATRIKA,HINDI,DAILY(M),BHOPAL,"18,901,717","13,380,145","5,097,812"
2099.0,PEOPLES SAMACHAR,HINDI,DAILY(M),BHOPAL,"4,998,320","2,183,850","381,564"
2100.0,PHIR EK SAFAR,HINDI,MONTHLY,BHOPAL,0,"5,211",0
2101.0,POLICE SANDESH,HINDI,MONTHLY,BHOPAL,0,"10,243","6,791"
2102.0,POWER GALLERY,HINDI,MONTHLY,BHOPAL,0,"13,791","7,184"
2103.0,PRABHAT PARIKRAMA,HINDI,DAILY(M),BHOPAL,"21,615","20,783","6,143"
2104.0,PRADESH KI HALCHAL,HINDI,DAILY(E),BHOPAL,"363,555","96,013","9,413"
2105.0,PRADESH TIMES (E),HINDI,DAILY(M),BHOPAL,"153,282","70,454","36,060"
2106.0,PRADESH TODAY,HINDI,DAILY(M),BHOPAL,"13,954,959","7,639,744","1,748,067"
2108.0,PRAJA PARKHI,HINDI,WEEKLY,BHOPAL,0,"3,893",0
2109.0,PRAKASH BHARTI,HINDI,DAILY(M),BHOPAL,"30,311",0,0
2110.0,PURNVIRAM,HINDI,DAILY(M),BHOPAL,0,"16,524","7,796"
2111.0,RAHEEL,HINDI,WEEKLY,BHOPAL,0,"3,893","4,865"
2112.0,RAJ EXPRESS BHOPAL,HINDI,DAILY(M),BHOPAL,"11,710,027","8,733,594","3,603,408"
2113.0,RAJDHANI HULCHAL,HINDI,WEEKLY,BHOPAL,0,"3,893",0
2114.0,RAMBHA TIMES,HINDI,WEEKLY,BHOPAL,0,"10,348",0
2115.0,RANG MAHAL TIMES,HINDI,WEEKLY,BHOPAL,0,"5,174",0
2116.0,RASHTRIYA GARIMA,HINDI,DAILY(M),BHOPAL,"17,501","21,939",0
2117.0,RASHTRIYA HINDI MAIL,HINDI,DAILY(M),BHOPAL,"530,735","56,187","158,718"
2118.0,RASHTRIYA JANVAKTA,HINDI,DAILY(E),BHOPAL,0,0,"6,143"
2119.0,RESEARCH TODAY,HINDI,DAILY(M),BHOPAL,0,0,"6,143"
2120.0,ROG NIDAN,HINDI,MONTHLY,BHOPAL,0,"10,243","6,791"
2121.0,ROZGAR AUR NIRMAN,HINDI,WEEKLY,BHOPAL,"142,447","190,951",0
2122.0,SAATWAN FALAK,HINDI,MONTHLY,BHOPAL,0,"6,864",0
2123.0,SACH EXPRESS,HINDI,DAILY(M),BHOPAL,0,"31,143","7,796"
2124.0,SAEBAN,URDU,DAILY(M),BHOPAL,"452,224","324,610","251,062"
2125.0,SAHI KHABAR,HINDI,DAILY(M),BHOPAL,0,0,"6,143"
2126.0,SAMAY JAGAT,HINDI,DAILY(M),BHOPAL,"443,322","252,960","17,165"
2127.0,SAMAY SAKHSI,HINDI,MONTHLY,BHOPAL,0,"3,805","6,514"
2128.0,SAMEER TIMES,HINDI,WEEKLY,BHOPAL,0,0,"4,865"
2129.0,SANDHYA DAINIK 6 PM,HINDI,DAILY(E),BHOPAL,"678,452","360,359","118,064"
2130.0,SANDHYA PAHAL,HINDI,DAILY(E),BHOPAL,0,"34,869","43,134"
2131.0,SATTA SUDHAR,HINDI,DAILY(M),BHOPAL,0,"51,846","9,413"
2132.0,SAYEENKALEN SWADESH,HINDI,DAILY(E),BHOPAL,"286,023","326,760","53,003"
2133.0,SHAM TAK SAMACHAR,HINDI,DAILY(E),BHOPAL,"106,621","22,748","6,143"
2134.0,SHIV BHARAT,HINDI,MONTHLY,BHOPAL,0,0,"42,295"
2135.0,SIDDHNATH,HINDI,WEEKLY,BHOPAL,0,"10,348",0
2136.0,SIYASI INQUILAB,URDU,DAILY(M),BHOPAL,"135,042","83,867","28,198"
2137.0,SOOFI TIMES,HINDI,MONTHLY,BHOPAL,0,"13,728",0
2138.0,SPORTS TRACK,HINDI,MONTHLY,BHOPAL,0,"5,211",0
2139.0,STAR SAMACHAR,HINDI,DAILY(M),BHOPAL,"49,912","36,419","9,413"
2140.0,SUBAHA SAVERE,HINDI,DAILY(M),BHOPAL,"138,970","75,967","12,076"
2141.0,SUYASH SANDESH,HINDI,MONTHLY,BHOPAL,0,"6,864",0
2142.0,SWADESH,HINDI,DAILY(M),BHOPAL,"1,360,464","2,800,531","919,317"
2143.0,SWASTHYA SANJEEVANI,HINDI,MONTHLY,BHOPAL,0,"13,728","6,514"
2144.0,SWATANTRA SAMAY,HINDI,DAILY(M),BHOPAL,"22,336","336,510","126,595"
2145.0,TARUN ABHIYAN,HINDI,DAILY(M),BHOPAL,0,0,"7,796"
2146.0,TATPAR,HINDI,MONTHLY,BHOPAL,"13,189","13,728","6,514"
2147.0,THE HITAVADA,ENGLISH,DAILY(M),BHOPAL,"570,637","482,953","307,268"
2148.0,THE LOOK,HINDI,DAILY(M),BHOPAL,0,"91,457","62,707"
2149.0,THE PIONEER,ENGLISH,DAILY(M),BHOPAL,"713,792","2,025,896","1,076,652"
2150.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),BHOPAL,"1,136,377","1,725,904","669,286"
2151.0,UDAY SANDESH,HINDI,DAILY(M),BHOPAL,0,"6,143",0
2152.0,UGRA VICHAR,HINDI,DAILY(M),BHOPAL,"18,177","7,189",0
2153.0,UPBHOKTA SHAKTI,HINDI,MONTHLY,BHOPAL,0,"5,812","5,189"
2154.0,URDU ACTION,URDU,DAILY(M),BHOPAL,"391,669","392,697","177,051"
2155.0,VICHAR PREM KE,HINDI,WEEKLY,BHOPAL,0,"7,786","6,467"
2156.0,VICHAR SHILPI,HINDI,WEEKLY,BHOPAL,0,"10,348",0
2157.0,VICHITRA VINOD,HINDI,WEEKLY,BHOPAL,0,"10,348","6,467"
2158.0,VIJAY MAT,HINDI,DAILY(M),BHOPAL,"46,069","819,428","208,594"
2159.0,VINAY UJALA,HINDI,DAILY(M),BHOPAL,"253,542","53,578","9,413"
2160.0,Y B,ENGLISH,FORTNIGHTLY,BHOPAL,0,"52,798","35,327"
2161.0,YALGAR TIMES,URDU,DAILY(M),BHOPAL,"250,414","45,648","18,670"
2162.0,YASH BHARAT,HINDI,DAILY(E),BHOPAL,0,"22,748","23,533"
2163.0,YUG PRADESH,HINDI,DAILY(M),BHOPAL,"68,569","377,988","227,895"
2164.0,URDU ACTION,URDU,DAILY(M),BURHANPUR,"448,689","456,652","93,294"
2165.0,APKI BAAT,HINDI,MONTHLY,CHHATARPUR,0,"3,707",0
2166.0,CHHATARPUR BHRAMAN,HINDI,DAILY(M),CHHATARPUR,"8,170","19,098","13,623"
2167.0,CHHATARPUR TIMES,HINDI,DAILY(E),CHHATARPUR,0,"28,489","6,143"
2168.0,DAINIK BHASKAR,HINDI,DAILY(M),CHHATARPUR,0,801,"38,175"
2169.0,FAULADI KALAM,HINDI,DAILY(M),CHHATARPUR,"270,660","169,941","7,796"
2170.0,JANHIT DARSHAN,HINDI,DAILY(M),CHHATARPUR,"120,556","407,502","125,993"
2171.0,KRISHNA KRANTI,HINDI,DAILY(M),CHHATARPUR,"335,133","375,920","121,986"
2172.0,MANGALMAY,HINDI,DAILY(M),CHHATARPUR,"81,211","71,085","7,796"
2173.0,NEW RASHTRA BHRAMAN,HINDI,DAILY(M),CHHATARPUR,"30,332",0,"6,143"
2175.0,RAJ KI DUNIYA,HINDI,DAILY(M),CHHATARPUR,"448,601","401,893","81,742"
2176.0,SHUBH BHARAT,HINDI,DAILY(M),CHHATARPUR,0,0,"6,143"
2177.0,VINDHYA SHAKTI,HINDI,DAILY(M),CHHATARPUR,"247,801","412,141","39,027"
2178.0,DAINIK BHASKAR,HINDI,DAILY(M),CHHINDWARA,"1,154,559","912,242","406,477"
2179.0,DIVYA EXPRESS,HINDI,DAILY(M),CHHINDWARA,"379,471","852,417","220,059"
2180.0,JABALPUR EXPRESS,HINDI,DAILY(M),CHHINDWARA,"1,858,394","1,083,408","324,172"
2181.0,NAV BHARAT,HINDI,DAILY(M),CHHINDWARA,0,0,"86,724"
2182.0,PRADESH TODAY,HINDI,DAILY(M),CHHINDWARA,"366,105","223,946","37,254"
2183.0,RAJ EXPRESS,HINDI,DAILY(M),CHHINDWARA,0,"1,174,630","316,219"
2184.0,THE OCEAN NEWS POINT,HINDI,WEEKLY,CHHINDWARA,0,"3,893","22,321"
2185.0,UDAYACHI BAAT,MARATHI,DAILY(M),CHHINDWARA,"30,755","36,739","6,143"
2186.0,NEW RASHTRA BHRAMAN,HINDI,DAILY(M),DAMOH,"599,398","331,858","84,513"
2187.0,SATTA SUDHAR,HINDI,DAILY(M),DATIA,"395,162","399,821","21,042"
2188.0,UDAY DESH,HINDI,DAILY(E),DATIA,"17,028","24,397","6,143"
2189.0,DAINIK DEWASDOOT,HINDI,DAILY(M),DEWAS,"16,171","24,225","24,141"
2190.0,DEWAS ANCHAL,HINDI,WEEKLY,DEWAS,0,"6,496","6,467"
2191.0,DEWAS DANG,HINDI,DAILY(M),DEWAS,"38,689","15,360","6,143"
2192.0,DEWAS DARPAN,HINDI,DAILY(M),DEWAS,"368,071","274,389","63,645"
2193.0,HELLO CITY HALCHAL,HINDI,DAILY(M),DEWAS,"61,087","58,648","6,143"
2194.0,SATYAKAAR,HINDI,DAILY(E),DEWAS,"299,133","59,795","9,413"
2195.0,CHAITANYA LOK,HINDI,DAILY(M),DHAR,"1,007,218","666,440","161,165"
2196.0,MADHYA JANDARSHAN,HINDI,DAILY(E),GUNA,"568,870","164,850","83,608"
2197.0,MADHYA SWADESH GUNA,HINDI,DAILY(M),GUNA,"486,212","1,089,014","471,358"
2198.0,PRAKASHAN AALAAP,HINDI,DAILY(E),GUNA,0,"42,526","7,796"
2199.0,ACHARAN,HINDI,DAILY(M),GWALIOR,"1,654,168","1,246,929","178,754"
2200.0,AJAY BHARAT,HINDI,DAILY(M),GWALIOR,"107,154","151,583","120,772"
2201.0,AKCHARPATH,HINDI,DAILY(E),GWALIOR,"32,315","21,146","4,541"
2202.0,AMRIT INDIA,HINDI,DAILY(M),GWALIOR,"57,972","43,878",0
2203.0,ARJUN TIMES,ENGLISH,DAILY(M),GWALIOR,0,"476,789","52,338"
2204.0,BHARAT MAT,HINDI,DAILY(E),GWALIOR,"260,403","178,650","9,413"
2205.0,BHARTIYA MANAVTA,HINDI,DAILY(M),GWALIOR,"18,873",0,0
2206.0,CHAMBAL VANI,HINDI,DAILY(M),GWALIOR,0,"6,143","6,143"
2207.0,DABANG DUNIYA,HINDI,DAILY(M),GWALIOR,"2,183,749","1,724,985","341,186"
2208.0,DAINIK BHASKAR,HINDI,DAILY(M),GWALIOR,"3,298,370","3,388,483","1,806,785"
2209.0,DAINIK CHAMBAL SURKHI,HINDI,DAILY(M),GWALIOR,"61,535","89,261","89,354"
2210.0,DAINIK NIRANJAN,HINDI,DAILY(M),GWALIOR,"18,594","79,211","9,413"
2211.0,DHRUV SAMACHAR,HINDI,DAILY(M),GWALIOR,0,"78,123","9,413"
2212.0,DISCOVER.COM,ENGLISH,MONTHLY,GWALIOR,0,"9,497","19,188"
2213.0,DISCOVER.COM,ENGLISH,DAILY(M),GWALIOR,"25,559","30,970","9,413"
2214.0,EXPRESS NEWS,HINDI,DAILY(M),GWALIOR,"999,245","315,597","55,585"
2215.0,GHAR SANSAR,HINDI,DAILY(M),GWALIOR,"91,509","50,552","6,143"
2216.0,GRAMEEN BHASKAR,HINDI,MONTHLY,GWALIOR,0,"8,572",0
2217.0,GRAMIN SAHARA,HINDI,DAILY(M),GWALIOR,"46,775","28,489","6,143"
2218.0,GWALIOR BHOOMI,HINDI,DAILY(M),GWALIOR,"200,449","191,490","64,784"
2219.0,GWALIOR HALCHAL,HINDI,DAILY(E),GWALIOR,"15,227","69,951","193,284"
2220.0,GWALIOR SANDHYA VARTA,HINDI,DAILY(E),GWALIOR,"30,454","31,856","9,413"
2221.0,HINDU SAMVRIDHI,HINDI,DAILY(E),GWALIOR,"195,258","602,054","126,300"
2222.0,HINDUSTAN EXPRESS,HINDI,DAILY(M),GWALIOR,"77,524","201,059","11,997"
2223.0,INDIA SHAM TAK,HINDI,DAILY(E),GWALIOR,0,"6,143","6,143"
2224.0,JAGAT VAANI,URDU,DAILY(M),GWALIOR,0,"28,446","7,796"
2225.0,JAN PRAVAH,HINDI,WEEKLY,GWALIOR,0,"7,786",0
2226.0,MADHYA BHARAT KRISHAKBHARTI,HINDI,MONTHLY,GWALIOR,0,"10,422","6,514"
2227.0,MADHYA JANDARSHAN,HINDI,DAILY(E),GWALIOR,"136,927","354,461","34,122"
2228.0,MADHYARAJYA,HINDI,DAILY(M),GWALIOR,"355,870","316,270","122,853"
2229.0,NAGAR CHINGARI,HINDI,DAILY(M),GWALIOR,"10,336","31,856","28,447"
2230.0,NAI DUNIYA,HINDI,DAILY(M),GWALIOR,"2,102,681","2,544,811","969,874"
2231.0,NAV BHARAT,HINDI,DAILY(M),GWALIOR,0,0,"6,350"
2232.0,NAVPRABHAT,HINDI,DAILY(M),GWALIOR,"476,007","780,802","96,206"
2233.0,PAL BHARTI,HINDI,MONTHLY,GWALIOR,0,"8,572",0
2234.0,PATRIKA,HINDI,DAILY(M),GWALIOR,"5,755,825","2,559,784","751,146"
2235.0,PEOPLES SAMACHAR,HINDI,DAILY(M),GWALIOR,"701,171","549,193","85,317"
2236.0,PRADESH TODAY,HINDI,DAILY(E),GWALIOR,"3,578,458","2,928,525","955,645"
2237.0,RAJ EXPRESS,HINDI,DAILY(M),GWALIOR,"14,575,149","4,642,924","3,201,852"
2238.0,SANDHYA PAHAL,HINDI,DAILY(E),GWALIOR,0,"6,143","51,981"
2239.0,SARTHI EXPRESS,HINDI,WEEKLY,GWALIOR,0,"7,789","4,865"
2241.0,SHRAM SADHANA,HINDI,DAILY(E),GWALIOR,0,"18,580","7,796"
2242.0,SHRAM SADHNA,HINDI,WEEKLY,GWALIOR,0,0,"9,737"
2243.0,SUDARSHAN EXPRESS,HINDI,DAILY(E),GWALIOR,"161,231","140,685","32,600"
2244.0,SWADESH GWALIOR,HINDI,DAILY(M),GWALIOR,"5,905,791","4,300,454","1,888,160"
2245.0,SWATANTRA SAMAY,HINDI,DAILY(M),GWALIOR,0,"15,504","35,769"
2246.0,UDAY DESH,HINDI,DAILY(E),GWALIOR,"7,568","22,083","6,143"
2247.0,UDGAR,HINDI,DAILY(M),GWALIOR,0,0,"6,143"
2248.0,UNIQUE TODAY,HINDI,WEEKLY,GWALIOR,"66,120","6,739","6,467"
2249.0,VRAJ SANDHYA,HINDI,DAILY(E),GWALIOR,"5,489","13,313","6,143"
2250.0,ZARA SAMACHAR,URDU,DAILY(M),GWALIOR,"1,718,395","1,678,019","284,840"
2251.0,ANOKHA TEER,HINDI,DAILY(M),HARDA,"346,794","384,643","133,693"
2252.0,AMRIT DARSHAN,HINDI,DAILY(M),HOSHANGABAD,"323,700","208,050","157,243"
2253.0,DAINIK BHASKAR,HINDI,DAILY(M),HOSHANGABAD,"533,246","830,770","263,626"
2254.0,ITARASI REPORTER,HINDI,WEEKLY,HOSHANGABAD,0,"10,348",0
2255.0,JAGEER TIMES,HINDI,DAILY(M),HOSHANGABAD,"155,872","217,072","29,866"
2256.0,KSHITIJ KIRAN,HINDI,DAILY(M),HOSHANGABAD,"789,109","572,483","165,974"
2257.0,NAGAR KATHA,HINDI,WEEKLY,HOSHANGABAD,0,"6,496",0
2258.0,PIPRIA PRAKASH,HINDI,WEEKLY,HOSHANGABAD,0,"7,786","4,865"
2259.0,PRADESH TIMES,HINDI,DAILY(M),HOSHANGABAD,0,0,"17,390"
2260.0,PRADESH TODAY,HINDI,DAILY(M),HOSHANGABAD,0,0,"109,390"
2261.0,AAJ KA DON,HINDI,WEEKLY,INDORE,0,"5,174","4,865"
2262.0,AAJ KA TIRANGA,HINDI,WEEKLY,INDORE,0,"3,893","4,865"
2263.0,AAJ KI JANTA,HINDI,WEEKLY,INDORE,0,"7,786",0
2264.0,AGAAZ -E- CHANDAN,HINDI,DAILY(M),INDORE,"7,568","20,783","4,541"
2265.0,AGNIBAN,HINDI,DAILY(E),INDORE,"6,710,198","4,045,462","1,263,061"
2266.0,AKSHAR VISHV,HINDI,DAILY(M),INDORE,"158,559","41,071","9,413"
2267.0,APNI DUNIYA,HINDI,DAILY(E),INDORE,"73,968","86,903","7,796"
2268.0,AWANTIKA,HINDI,DAILY(M),INDORE,"1,564,713","1,719,148",0
2269.0,BALWAS TIMES,HINDI,DAILY(M),INDORE,0,"95,552","12,182"
2270.0,CHAITANYA LOK,HINDI,DAILY(M),INDORE,"64,613","238,550","9,413"
2271.0,CHOUTHA SANSAR,HINDI,DAILY(M),INDORE,"163,299","202,822","20,279"
2272.0,CITY BLAST,HINDI,DAILY(E),INDORE,0,"36,286","9,413"
2273.0,CITY TODAY,HINDI,DAILY(M),INDORE,"66,750","277,354","11,216"
2274.0,D N N TIMES,HINDI,DAILY(E),INDORE,0,"30,716","6,143"
